X,Y,Station,Fecha_colocación,Fecha_retiro,Problem1_from,Problem1_to,Problem2_from,Problem2_to
693542,2006155,CB1,01/09/2011,30/09/2011,,,,
690425,2009157,CB2,01/09/2011,30/09/2011,,,,
695336,2007819,CB3,01/09/2011,30/09/2011,,,,
692181,2006609,CB4,01/09/2011,30/11/2011,,,,
696184,2006805,CB5,01/09/2011,30/11/2011,,,,
695917,2006756,CB6,01/09/2011,30/11/2011,,,,
694975,2006697,CB7,01/09/2011,05/03/2013,01/12/2012,31/01/2013,,
695193,2010248,CB8,01/09/2011,30/11/2011,,,,
693831,2010096,CB9,01/09/2011,30/11/2011,,,,
692377,2007702,CB10,01/09/2011,30/11/2011,,,,
693450,2006346,CB11,01/10/2011,30/11/2011,,,,
690391,2009186,CB12,01/10/2011,30/11/2011,,,,
694862,2007815,CB13,01/10/2011,05/04/2013,,,,
693303,2010223,CB14,01/02/2012,30/03/2012,,,,
693369,2006394,CB15,01/02/2012,05/04/2013,01/06/2012,30/06/2012,01/12/2012,31/01/2013
692183,2006626,CB16,01/02/2012,31/07/2012,,,,
690991,2009844,CB17,01/02/2012,31/07/2012,,,,
694183,2008340,CB18,01/02/2012,31/08/2012,,,,
691206,2008027,CB19,01/02/2012,05/04/2013,,,,
693799,2010085,CB20,01/02/2012,05/04/2013,,,,
693800,2009773,CB21,01/04/2012,05/04/2013,,,,
694945,2008495,CB22,01/04/2012,05/04/2013,,,,
690994,2009840,CB23,01/08/2012,05/04/2013,,,,
691929,2006839,CB24,01/08/2012,05/04/2013,,,,
694172,2008343,CB25,01/09/2012,05/04/2013,,,,
694015,2008951,CB26,01/05/2013,31/10/2013,,,,
691686,2009547,CB27,01/05/2013,31/10/2013,,,,
693632,2009807,CB28,01/05/2013,31/10/2013,,,,
692800,2008239,CB29,01/05/2013,31/10/2013,,,,
690346,2010022,CB30,01/05/2013,31/10/2013,,,,
695684,2007255,CB31,01/05/2013,31/10/2013,,,,
691121,2009736,CB32,01/05/2013,31/10/2013,,,,
693609,2007091,CB33,01/05/2013,31/10/2013,,,,
691837,2012624,CB34,01/05/2013,31/10/2013,,,,
691837,2009271,CB35,01/05/2013,15/02/2014,,,,
693278,2010104,CB36,01/05/2013,15/02/2014,,,,
692775,2007782,CB37,01/05/2013,15/02/2014,,,,
693242,2007244,CB38,01/05/2013,15/02/2014,,,,
695422,2007290,CB39,01/05/2013,15/02/2014,,,,
692047,2012460,CB40,01/05/2013,15/02/2014,,,,
690360,2009629,CB41,01/05/2013,15/02/2014,,,,
694207,2008755,CB42,01/05/2013,15/02/2014,,,,
691118,2010032,CB43,01/05/2013,15/02/2014,,,,
692889,2007473,CB44,01/01/2014,31/08/2014,,,,
692940,2007454,CB45,01/01/2014,31/08/2014,,,,
692190,2007979,CB46,01/02/2014,31/08/2014,,,,
692339,2007458,CB47,01/02/2014,31/08/2014,,,,
692187,2007655,CB48,01/02/2014,31/08/2014,,,,
692102,2007846,CB49,01/02/2014,31/08/2014,,,,
693065,2007297,CB50,01/09/2015,02/06/2016,01/12/2015,31/01/2016,,
692626,2007709,CB51,01/09/2015,09/06/2016,,,,
691994,2008516,CB52,01/09/2015,09/06/2016,,,,
692102,2007846,CB53,01/09/2015,09/06/2016,,,,
692452,2007330,CB54,01/09/2015,09/06/2016,,,,
692938,2007457,CB55,09/02/2016,09/06/2016,,,,
692339,2007458,CB56,09/02/2016,09/06/2016,,,,
692214,2008094,CB57,09/02/2016,09/06/2016,,,,
692190,2007979,CB58,09/02/2016,31/05/2016,,,,
692045,2007531,CB59,09/02/2016,01/06/2016,,,,
719259,1963769,CH1,01/09/2011,30/09/2011,,,,
719477,1963657,CH2,01/09/2011,30/09/2011,,,,
719152,1963625,CH3,01/09/2011,31/10/2011,,,,
719380,1964129,CH4,01/09/2011,31/10/2011,,,,
719031,1963745,CH5,01/09/2011,30/11/2011,,,,
719435,1963500,CH6,01/09/2011,30/11/2011,,,,
718858,1964444,CH7,01/09/2011,30/11/2011,,,,
718759,1964499,CH8,01/09/2011,30/11/2011,,,,
718298,1964558,CH9,01/09/2011,30/11/2011,,,,
718318,1965042,CH10,01/09/2011,30/11/2011,,,,
719206,1963737,CH11,01/10/2011,30/11/2011,,,,
719515,1963682,CH12,01/10/2011,30/11/2011,,,,
720525,1963069,CH13,01/02/2012,30/06/2012,,,,
719751,1962186,CH14,01/02/2012,30/06/2012,,,,
720380,1965007,CH15,01/02/2012,07/04/2013,,,,
719812,1967903,CH16,01/02/2012,07/04/2013,,,,
719866,1967122,CH17,01/02/2012,07/04/2013,,,,
719721,1966554,CH18,01/02/2012,07/04/2013,,,,
719142,1965632,CH19,01/04/2012,31/05/2012,,,,
719854,1965679,CH20,01/04/2012,07/04/2013,,,,
720440,1965195,CH21,01/04/2012,31/08/2012,,,,
719711,1966730,CH22,01/04/2012,07/04/2013,,,,
720703,1965394,CH23,01/07/2012,07/04/2013,01/12/2012,31/12/2012,,
720181,1965502,CH24,01/07/2012,07/04/2013,,,,
721088,1965157,CH25,01/09/2012,07/04/2013,,,,
712853,1973874,CU1,01/07/2012,30/09/2012,,,,
712545,1973476,CU2,01/07/2012,03/04/2013,,,,
713114,1973033,CU3,01/07/2012,03/04/2013,,,,
714996,1974809,CU4,01/07/2012,03/04/2013,,,,
713904,1972863,CU5,01/07/2012,03/04/2013,,,,
715443,1974249,CU6,01/08/2012,03/04/2013,01/12/2012,31/01/2013,,
714902,1974280,CU7,01/07/2012,03/04/2013,,,,
715833,1974082,CU8,01/07/2012,03/04/2013,,,,
717240,1971129,CU9,01/10/2013,08/07/2014,01/01/2014,31/01/2014,,
716465,1971671,CU10,01/10/2013,08/07/2014,,,,
715503,1974206,CU11,01/10/2013,08/07/2014,01/11/2013,30/11/2013,01/01/2014,31/01/2014
715393,1973020,CU12,01/10/2013,08/07/2014,,,,
715000,1974860,CU13,01/10/2013,08/07/2014,,,,
716010,1972571,CU14,01/10/2013,08/07/2014,,,,
717753,1971269,CU15,01/10/2013,08/07/2014,01/02/2013,28/02/2013,,
713111,1973031,CU16,01/10/2013,08/07/2014,,,,
714561,1972395,CU17,01/10/2013,08/07/2014,,,,
713900,1972862,CU18,01/10/2013,08/07/2014,,,,
707419,1992154,LC1,01/08/2012,06/04/2013,,,,
707663,1992645,LC2,01/12/2012,06/04/2013,,,,
708029,1993111,LC3,01/08/2012,06/04/2013,,,,
708714,1992705,LC4,01/08/2012,06/04/2013,,,,
708161,1992572,LC5,01/08/2012,30/11/2012,,,,
708409,1992695,LC6,01/12/2012,06/04/2013,,,,
708028,1992034,LC7,01/08/2012,06/04/2013,,,,
708329,1992451,LC8,01/08/2012,06/04/2013,,,,
708159,1992230,LC9,01/08/2012,30/11/2012,,,,
708511,1992036,LC10,01/12/2012,06/04/2013,,,,
