Numero ,sitios,Zona,Bas_ast,Can_lat,Con_mes,Das_nov,Lyn_ruf,Mep_mac,Nas_nar,Odo_vir,Pec_taj,Pro_lot,Pum_con,Pum_yag,Spi_put,Syl_flo,Uro_cin,Leo_par,Pan_onc
1,Sitio-1,Conservada-01,3.33,0,1.64,0,1.64,4.92,0,20.34,1.64,0,1.19,0,1.19,31.15,0,1.18,0
2,Sitio-1,Conservada-01,0,0,1.69,0,0,1.69,0,0,0,0,0,0,0,2.5,0,0,0
3,Sitio-1,Conservada-01,3.17,0,1.69,0,3.51,1.75,0,3.51,0,0,0,0,0,28.07,0,1.2,0
4,Sitio-1,Conservada-01,1.18,0,3.51,0,1.75,3.51,0,3.57,8.14,0,1.16,0,1.16,7.02,1.22,1.18,0
5,Sitio-1,Conservada-01,12.35,0,1.64,0,2.7,1.75,0,5.26,6.98,0,1.3,0,3.17,1.22,7.02,0,0
6,Sitio-1,Conservada-01,3.49,0,1.69,0,0,0,0,3.17,1.16,0,0,0,1.16,3.17,1.79,0,0
7,Sitio-1,Conservada-01,1.3,0,3.17,0,16.67,0,0,10.84,0,0,1.19,0,0,1.16,2.5,1.8,0
8,Sitio-1,Conservada-01,0,0,0,0,0,1.67,0,3.17,0,0,1.59,0,0,1.18,1.22,1.2,0
9,Sitio-1,Conservada-01,3.61,0,3.33,0,3.33,1.67,0,5.3,0,0,1.2,0,0,23.33,5,0,0
10,Sitio-1,Conservada-01,3.49,0,0,0,0,1.59,0,4.76,0,0,0,0,0,3.17,6.35,0,0
11,Sitio-1,Perturbada-01,0,4.5,0,0,0,0,0,6.1,0,1.22,0,0,0,8.54,1.22,0,0
12,Sitio-1,Perturbada-01,0,1.2,3.61,0,0,4.65,0,0,0,0,0,0,0,28.92,6.02,0,0
13,Sitio-1,Perturbada-01,0,0,3.49,0,0,5.81,0,6.98,0,0,0,0,0,13.95,13.95,0,0
14,Sitio-1,Perturbada-01,0,0,1.16,3.33,0,0,0,4.65,0,0,0,1.2,0,4.65,0,0,0
15,Sitio-1,Perturbada-01,0,0,0,0,0,0,0,5.81,0,0,0,1.59,0,6.98,10.47,0,0
16,Sitio-1,Perturbada-01,0,0,0,1.54,0,0,0,6.98,0,3.17,0,1.2,0,1.16,0,0,0
17,Sitio-1,Perturbada-01,1.22,0,3.17,0,0,0,0,3.17,0,0,0,0,0,19.05,0,0,0
18,Sitio-1,Perturbada-01,3.61,0,3.53,0,0,1.18,0,0,0,0,0,0,0,4.71,14.12,0,0
19,Sitio-1,Perturbada-01,2.33,0,0,1.16,0,0,0,12.35,0,0,0,0,0,1.23,0,0,0
20,Sitio-1,Perturbada-01,0,3.17,2.33,0,0,0,0,3.49,0,0,0,0,0,5.81,5.81,0,0
21,Sitio-2,Conservada-02,1.69,0,0,1.16,1.59,0,0,22.22,2.44,0,0,0,1.16,26.98,0,0,1.22
22,Sitio-2,Conservada-02,1.69,0,0,0,0,0,0,4.69,3.61,2.94,0,0,1.16,2.41,1.69,0,3.61
23,Sitio-2,Conservada-02,0,0,0,3.57,0,1.2,0,1.75,3.49,0,0,0,0,8.43,1.75,0,1.22
24,Sitio-2,Conservada-02,2.27,0,0,0,0,3.57,0,3.51,1.16,0,0,0,1.75,1.18,3.51,0,0
25,Sitio-2,Conservada-02,0,0,0,1.75,0,0,1.56,2.94,0,1.59,0,0,0,2.94,1.18,0,1.22
26,Sitio-2,Conservada-02,4.76,3.51,3.33,1.2,0,3.17,0,4.76,1.59,0,0,0,0,15.87,3.17,0,1.22
27,Sitio-2,Conservada-02,1.18,0,0,3.57,0,1.2,2.41,4.2,0,1.22,0,0,0,3.17,1.18,0,2.33
28,Sitio-2,Conservada-02,0,0,1.59,1.2,4.76,0,1.18,0,0,2.33,0,1.2,1.59,19.05,0,8.14,0
29,Sitio-2,Conservada-02,1.18,0,3.51,0,1.18,1.18,0,9.52,0,0,0,1.18,0,22.22,0,6.98,0
30,Sitio-2,Conservada-02,9.41,1.2,0,0,1.59,0,1.18,1.18,1.16,2.41,0,0,0,5.88,2.46,3.17,0
31,Sitio-2,Perturbada-02,0,0,0,0,3.33,1.59,0,5.81,0,0,0,0,0,0,11.11,0,0
32,Sitio-2,Perturbada-02,0,0,0,0,0,1.59,0,6.98,0,0,0,0,0,1.18,6.02,0,0
33,Sitio-2,Perturbada-02,0,12.28,10.84,0,0,0,0,3.17,0,0,0,1.2,0,0,1.2,0,0
34,Sitio-2,Perturbada-02,0,0,10.84,0,1.2,0,0,1.18,0,11.9,0,2.47,0,0,0,0,0
35,Sitio-2,Perturbada-02,0,2.3,0,0,0,0,1.59,0,0,0,0,0,0,6.98,2.94,0,0
36,Sitio-2,Perturbada-02,0,4.5,7.94,0,0,0,1.18,0,0,0,0,0,0,0,3.17,0,0
37,Sitio-2,Perturbada-02,0,0,3.61,0,0,0,0,0,0,2.41,0,1.2,0,5.81,3.61,0,0
38,Sitio-2,Perturbada-02,0,1.59,1.59,0,1.16,0,0,0,0,0,0,0,0,0,4.76,0,0
39,Sitio-2,Perturbada-02,0,0,0,0,6.35,0,0,0,0,0,0,1.16,0,3.17,25.4,0,0
40,Sitio-2,Perturbada-02,0,0,3.53,0,1.18,4.65,0,0,0,3.53,0,0,0,0,17.65,0,0
