,Numero,sitios,Zona,especies,iar
1,1,Sitio-1,Conservada-01,Bas_ast,3.33
2,1,Sitio-1,Conservada-01,Can_lat,0
3,1,Sitio-1,Conservada-01,Con_mes,1.64
4,1,Sitio-1,Conservada-01,Das_nov,0
5,1,Sitio-1,Conservada-01,Lyn_ruf,1.64
6,1,Sitio-1,Conservada-01,Mep_mac,4.92
7,1,Sitio-1,Conservada-01,Nas_nar,0
8,1,Sitio-1,Conservada-01,Odo_vir,20.34
9,1,Sitio-1,Conservada-01,Pec_taj,1.64
10,1,Sitio-1,Conservada-01,Pro_lot,0
11,1,Sitio-1,Conservada-01,Pum_con,1.19
12,1,Sitio-1,Conservada-01,Pum_yag,0
13,1,Sitio-1,Conservada-01,Spi_put,1.19
14,1,Sitio-1,Conservada-01,Syl_flo,31.15
15,1,Sitio-1,Conservada-01,Uro_cin,0
16,1,Sitio-1,Conservada-01,Leo_par,1.18
17,1,Sitio-1,Conservada-01,Pan_onc,0
18,2,Sitio-1,Conservada-01,Bas_ast,0
19,2,Sitio-1,Conservada-01,Can_lat,0
20,2,Sitio-1,Conservada-01,Con_mes,1.69
21,2,Sitio-1,Conservada-01,Das_nov,0
22,2,Sitio-1,Conservada-01,Lyn_ruf,0
23,2,Sitio-1,Conservada-01,Mep_mac,1.69
24,2,Sitio-1,Conservada-01,Nas_nar,0
25,2,Sitio-1,Conservada-01,Odo_vir,0
26,2,Sitio-1,Conservada-01,Pec_taj,0
27,2,Sitio-1,Conservada-01,Pro_lot,0
28,2,Sitio-1,Conservada-01,Pum_con,0
29,2,Sitio-1,Conservada-01,Pum_yag,0
30,2,Sitio-1,Conservada-01,Spi_put,0
31,2,Sitio-1,Conservada-01,Syl_flo,2.5
32,2,Sitio-1,Conservada-01,Uro_cin,0
33,2,Sitio-1,Conservada-01,Leo_par,0
34,2,Sitio-1,Conservada-01,Pan_onc,0
35,3,Sitio-1,Conservada-01,Bas_ast,3.17
36,3,Sitio-1,Conservada-01,Can_lat,0
37,3,Sitio-1,Conservada-01,Con_mes,1.69
38,3,Sitio-1,Conservada-01,Das_nov,0
39,3,Sitio-1,Conservada-01,Lyn_ruf,3.51
40,3,Sitio-1,Conservada-01,Mep_mac,1.75
41,3,Sitio-1,Conservada-01,Nas_nar,0
42,3,Sitio-1,Conservada-01,Odo_vir,3.51
43,3,Sitio-1,Conservada-01,Pec_taj,0
44,3,Sitio-1,Conservada-01,Pro_lot,0
45,3,Sitio-1,Conservada-01,Pum_con,0
46,3,Sitio-1,Conservada-01,Pum_yag,0
47,3,Sitio-1,Conservada-01,Spi_put,0
48,3,Sitio-1,Conservada-01,Syl_flo,28.07
49,3,Sitio-1,Conservada-01,Uro_cin,0
50,3,Sitio-1,Conservada-01,Leo_par,1.2
51,3,Sitio-1,Conservada-01,Pan_onc,0
52,4,Sitio-1,Conservada-01,Bas_ast,1.18
53,4,Sitio-1,Conservada-01,Can_lat,0
54,4,Sitio-1,Conservada-01,Con_mes,3.51
55,4,Sitio-1,Conservada-01,Das_nov,0
56,4,Sitio-1,Conservada-01,Lyn_ruf,1.75
57,4,Sitio-1,Conservada-01,Mep_mac,3.51
58,4,Sitio-1,Conservada-01,Nas_nar,0
59,4,Sitio-1,Conservada-01,Odo_vir,3.57
60,4,Sitio-1,Conservada-01,Pec_taj,8.14
61,4,Sitio-1,Conservada-01,Pro_lot,0
62,4,Sitio-1,Conservada-01,Pum_con,1.16
63,4,Sitio-1,Conservada-01,Pum_yag,0
64,4,Sitio-1,Conservada-01,Spi_put,1.16
65,4,Sitio-1,Conservada-01,Syl_flo,7.02
66,4,Sitio-1,Conservada-01,Uro_cin,1.22
67,4,Sitio-1,Conservada-01,Leo_par,1.18
68,4,Sitio-1,Conservada-01,Pan_onc,0
69,5,Sitio-1,Conservada-01,Bas_ast,12.35
70,5,Sitio-1,Conservada-01,Can_lat,0
71,5,Sitio-1,Conservada-01,Con_mes,1.64
72,5,Sitio-1,Conservada-01,Das_nov,0
73,5,Sitio-1,Conservada-01,Lyn_ruf,2.7
74,5,Sitio-1,Conservada-01,Mep_mac,1.75
75,5,Sitio-1,Conservada-01,Nas_nar,0
76,5,Sitio-1,Conservada-01,Odo_vir,5.26
77,5,Sitio-1,Conservada-01,Pec_taj,6.98
78,5,Sitio-1,Conservada-01,Pro_lot,0
79,5,Sitio-1,Conservada-01,Pum_con,1.3
80,5,Sitio-1,Conservada-01,Pum_yag,0
81,5,Sitio-1,Conservada-01,Spi_put,3.17
82,5,Sitio-1,Conservada-01,Syl_flo,1.22
83,5,Sitio-1,Conservada-01,Uro_cin,7.02
84,5,Sitio-1,Conservada-01,Leo_par,0
85,5,Sitio-1,Conservada-01,Pan_onc,0
86,6,Sitio-1,Conservada-01,Bas_ast,3.49
87,6,Sitio-1,Conservada-01,Can_lat,0
88,6,Sitio-1,Conservada-01,Con_mes,1.69
89,6,Sitio-1,Conservada-01,Das_nov,0
90,6,Sitio-1,Conservada-01,Lyn_ruf,0
91,6,Sitio-1,Conservada-01,Mep_mac,0
92,6,Sitio-1,Conservada-01,Nas_nar,0
93,6,Sitio-1,Conservada-01,Odo_vir,3.17
94,6,Sitio-1,Conservada-01,Pec_taj,1.16
95,6,Sitio-1,Conservada-01,Pro_lot,0
96,6,Sitio-1,Conservada-01,Pum_con,0
97,6,Sitio-1,Conservada-01,Pum_yag,0
98,6,Sitio-1,Conservada-01,Spi_put,1.16
99,6,Sitio-1,Conservada-01,Syl_flo,3.17
100,6,Sitio-1,Conservada-01,Uro_cin,1.79
101,6,Sitio-1,Conservada-01,Leo_par,0
102,6,Sitio-1,Conservada-01,Pan_onc,0
103,7,Sitio-1,Conservada-01,Bas_ast,1.3
104,7,Sitio-1,Conservada-01,Can_lat,0
105,7,Sitio-1,Conservada-01,Con_mes,3.17
106,7,Sitio-1,Conservada-01,Das_nov,0
107,7,Sitio-1,Conservada-01,Lyn_ruf,16.67
108,7,Sitio-1,Conservada-01,Mep_mac,0
109,7,Sitio-1,Conservada-01,Nas_nar,0
110,7,Sitio-1,Conservada-01,Odo_vir,10.84
111,7,Sitio-1,Conservada-01,Pec_taj,0
112,7,Sitio-1,Conservada-01,Pro_lot,0
113,7,Sitio-1,Conservada-01,Pum_con,1.19
114,7,Sitio-1,Conservada-01,Pum_yag,0
115,7,Sitio-1,Conservada-01,Spi_put,0
116,7,Sitio-1,Conservada-01,Syl_flo,1.16
117,7,Sitio-1,Conservada-01,Uro_cin,2.5
118,7,Sitio-1,Conservada-01,Leo_par,1.8
119,7,Sitio-1,Conservada-01,Pan_onc,0
120,8,Sitio-1,Conservada-01,Bas_ast,0
121,8,Sitio-1,Conservada-01,Can_lat,0
122,8,Sitio-1,Conservada-01,Con_mes,0
123,8,Sitio-1,Conservada-01,Das_nov,0
124,8,Sitio-1,Conservada-01,Lyn_ruf,0
125,8,Sitio-1,Conservada-01,Mep_mac,1.67
126,8,Sitio-1,Conservada-01,Nas_nar,0
127,8,Sitio-1,Conservada-01,Odo_vir,3.17
128,8,Sitio-1,Conservada-01,Pec_taj,0
129,8,Sitio-1,Conservada-01,Pro_lot,0
130,8,Sitio-1,Conservada-01,Pum_con,1.59
131,8,Sitio-1,Conservada-01,Pum_yag,0
132,8,Sitio-1,Conservada-01,Spi_put,0
133,8,Sitio-1,Conservada-01,Syl_flo,1.18
134,8,Sitio-1,Conservada-01,Uro_cin,1.22
135,8,Sitio-1,Conservada-01,Leo_par,1.2
136,8,Sitio-1,Conservada-01,Pan_onc,0
137,9,Sitio-1,Conservada-01,Bas_ast,3.61
138,9,Sitio-1,Conservada-01,Can_lat,0
139,9,Sitio-1,Conservada-01,Con_mes,3.33
140,9,Sitio-1,Conservada-01,Das_nov,0
141,9,Sitio-1,Conservada-01,Lyn_ruf,3.33
142,9,Sitio-1,Conservada-01,Mep_mac,1.67
143,9,Sitio-1,Conservada-01,Nas_nar,0
144,9,Sitio-1,Conservada-01,Odo_vir,5.3
145,9,Sitio-1,Conservada-01,Pec_taj,0
146,9,Sitio-1,Conservada-01,Pro_lot,0
147,9,Sitio-1,Conservada-01,Pum_con,1.2
148,9,Sitio-1,Conservada-01,Pum_yag,0
149,9,Sitio-1,Conservada-01,Spi_put,0
150,9,Sitio-1,Conservada-01,Syl_flo,23.33
151,9,Sitio-1,Conservada-01,Uro_cin,5
152,9,Sitio-1,Conservada-01,Leo_par,0
153,9,Sitio-1,Conservada-01,Pan_onc,0
154,10,Sitio-1,Conservada-01,Bas_ast,3.49
155,10,Sitio-1,Conservada-01,Can_lat,0
156,10,Sitio-1,Conservada-01,Con_mes,0
157,10,Sitio-1,Conservada-01,Das_nov,0
158,10,Sitio-1,Conservada-01,Lyn_ruf,0
159,10,Sitio-1,Conservada-01,Mep_mac,1.59
160,10,Sitio-1,Conservada-01,Nas_nar,0
161,10,Sitio-1,Conservada-01,Odo_vir,4.76
162,10,Sitio-1,Conservada-01,Pec_taj,0
163,10,Sitio-1,Conservada-01,Pro_lot,0
164,10,Sitio-1,Conservada-01,Pum_con,0
165,10,Sitio-1,Conservada-01,Pum_yag,0
166,10,Sitio-1,Conservada-01,Spi_put,0
167,10,Sitio-1,Conservada-01,Syl_flo,3.17
168,10,Sitio-1,Conservada-01,Uro_cin,6.35
169,10,Sitio-1,Conservada-01,Leo_par,0
170,10,Sitio-1,Conservada-01,Pan_onc,0
171,11,Sitio-1,Perturbada-01,Bas_ast,0
172,11,Sitio-1,Perturbada-01,Can_lat,4.5
173,11,Sitio-1,Perturbada-01,Con_mes,0
