"","Numero","sitios","Zona","Dpob","Drio","Dcam","Slope","N0","H","Hb2","N1","N2","J"
"1",1,"Sitio-1","Conservada-01",2828,3912,304,12.4,10,1.53608680799596,2.21610482027072,4.6463725016996,3.25082514521243,0.667114024437023
"2",2,"Sitio-1","Conservada-01",2148,2901,580,4.92,3,1.08034770451502,1.5586122757396,2.94570360746492,2.89030445904599,0.983374859045831
"3",3,"Sitio-1","Conservada-01",1817,4089,31,6.14,7,1.23761946100542,1.78550745890019,3.44739702581645,2.21743464784259,0.636010589495229
"4",4,"Sitio-1","Conservada-01",1826,3077,636,14.22,11,2.12943770299913,3.07212921399883,8.41013648711755,6.84594236339535,0.888044497670681
"5",5,"Sitio-1","Conservada-01",2080,5273,34,8.69,10,2.02484640503986,2.92123586711285,7.5749473815393,6.18370309692265,0.879379620410449
"6",6,"Sitio-1","Conservada-01",2031,5025,363,7.58,7,1.85667090886613,2.67860991278396,6.40238712347678,5.95420589676158,0.95414010239244
"7",7,"Sitio-1","Conservada-01",1629,6285,501,7.67,8,1.57109980735024,2.2666179008058,4.81193748885837,3.55824968507465,0.7555393002686
"8",8,"Sitio-1","Conservada-01",1490,6037,105,10.32,6,1.71657036979248,2.47648755983654,5.56540840287172,5.11009463241681,0.958036164604187
"9",9,"Sitio-1","Conservada-01",1141,5604,203,12.47,8,1.61965604389241,2.33666974246942,5.05135257415799,3.43494362672394,0.778889914156474
"10",10,"Sitio-1","Conservada-01",1759,4090,599,9.26,5,1.52099367680771,2.19433003475396,4.57677076731901,4.27195761888914,0.945046506644903
"11",11,"Sitio-1","Perturbada-01",830,228,1217,4.5,5,1.37573522249722,1.98476638307302,3.9579856535301,3.49180465537564,0.854792354441666
"12",12,"Sitio-1","Perturbada-01",629,2151,697,0,5,1.08810130168575,1.56979835192686,2.96863218121511,2.16942551205489,0.676075351077143
"13",13,"Sitio-1","Perturbada-01",669,665,1397,0,5,1.48683082416103,2.14504345665797,4.42305584194312,4.0339477238946,0.923819932831306
"14",14,"Sitio-1","Perturbada-01",931,760,1906,2.41,5,1.46057103802127,2.10715859341933,4.30841909714075,3.93385971515857,0.907503810328609
"15",15,"Sitio-1","Perturbada-01",938,644,893,2.26,4,1.2365228035635,1.78392531664718,3.44361848447427,3.17287559954888,0.891962658323589
"16",16,"Sitio-1","Perturbada-01",222,742,1834,4.99,5,1.34186022011581,1.93589508512725,3.82615437876247,3.0879603920127,0.833744632053801
"17",17,"Sitio-1","Perturbada-01",111,632,223,3.75,4,0.887492098148309,1.28038044882671,2.42903023669177,1.8416460613797,0.640190224413353
"18",18,"Sitio-1","Perturbada-01",266,802,875,0.41,5,1.31371936890011,1.89529641863197,3.7199840063224,2.96695753045255,0.816259738105247
"19",19,"Sitio-1","Perturbada-01",534,2146,1421,2.75,4,0.878252819366427,1.26705098714669,2.40669110680315,1.81198359056252,0.633525493573347
"20",20,"Sitio-1","Perturbada-01",195,822,968,0,5,1.54898427991497,2.2347119390483,4.70668707725559,4.46329361847891,0.962438046194838
"21",21,"Sitio-2","Conservada-02",1298,3371,246,4.09,8,1.29391098249579,1.86671895779844,3.64702213979794,2.76241914788813,0.62223965259948
"22",22,"Sitio-2","Conservada-02",1281,2929,326,7.72,8,1.99234009858185,2.87433917998826,7.33267287828147,6.83112499964065,0.958113059996088
"23",23,"Sitio-2","Conservada-02",2316,3415,244,13.67,7,1.69551143291286,2.44610593603393,5.44943227166779,4.36380140380205,0.87132051484288
"24",24,"Sitio-2","Conservada-02",822,5629,78,6.96,7,1.85297073354402,2.67327168819634,6.37874094312533,5.94355430971172,0.952238588427933
"25",25,"Sitio-2","Conservada-02",1322,5833,613,3.37,7,1.88148292518377,2.71440608567988,6.56323042895489,6.16171848951128,0.966890956448927
"26",26,"Sitio-2","Conservada-02",727,4646,692,27.2,10,1.97469232227676,2.84887882063019,7.20440267856755,5.23799761596185,0.857597979021514
"27",27,"Sitio-2","Conservada-02",962,4907,41,0,9,2.08149645102369,3.00296460751986,8.01645617693601,7.29491844416562,0.947329859903157
"28",28,"Sitio-2","Conservada-02",774,1289,409,17.96,9,1.65034872961741,2.38094992795644,5.20879597191617,3.60986692020099,0.751106075655768
"29",29,"Sitio-2","Conservada-02",742,734,181,8.28,8,1.52517904152154,2.2003682396709,4.59596636445806,3.38618711277912,0.733456079890301
"30",30,"Sitio-2","Conservada-02",1145,718,851,16.07,10,2.00510428747096,2.89275401199955,7.42686838569345,5.73716381418093,0.870805727689188
"31",31,"Sitio-2","Perturbada-02",367,742,501,6.14,4,1.17359834174708,1.69314450763402,3.23360735347299,2.79257071798751,0.846572253817011
"32",32,"Sitio-2","Perturbada-02",146,632,105,14.22,4,1.15369907355529,1.66443593209642,3.16989693123717,2.79803400715336,0.832217966048208
"33",33,"Sitio-2","Perturbada-02",482,802,203,8.69,5,1.23988253875353,1.78877238994454,3.45520758793566,2.92681297245095,0.770382336078032
"34",34,"Sitio-2","Perturbada-02",281,2146,599,7.58,5,1.21695781824733,1.75569900935648,3.37689895101372,2.839810571877,0.756138406362516
"35",35,"Sitio-2","Perturbada-02",526,822,246,2.41,4,1.22162514143894,1.76243253337923,3.39269686811758,2.92589683363991,0.881216266689617
"36",36,"Sitio-2","Perturbada-02",208,907,326,2.26,4,1.20839658234244,1.74334775677261,3.34811192455731,2.9757153910544,0.871673878386304
"37",37,"Sitio-2","Perturbada-02",203,892,244,4.99,5,1.4998972020588,2.16389425525347,4.48122838560767,4.12846586469932,0.93193852988735
"38",38,"Sitio-2","Perturbada-02",629,734,78,3.75,4,1.211173284029,1.74735369052583,3.35742155163213,2.84968030998575,0.873676845262917
"39",39,"Sitio-2","Perturbada-02",149,718,613,0,4,0.877040983949628,1.26530267820051,2.4037763597362,1.86800023533565,0.632651339100253
"40",40,"Sitio-2","Perturbada-02",209,742,692,7.23,5,1.22797675119658,1.77159596927824,3.41431453546661,2.59470782775903,0.762984854345449
