Numero ,sitios,Zona,Dpob,Drio,Dcam,Slope
1,Sitio-1,Conservada-01,2828,3912,304,12.40
2,Sitio-1,Conservada-01,2148,2901,580,4.92
3,Sitio-1,Conservada-01,1817,4089,31,6.14
4,Sitio-1,Conservada-01,1826,3077,636,14.22
5,Sitio-1,Conservada-01,2080,5273,34,8.69
6,Sitio-1,Conservada-01,2031,5025,363,7.58
7,Sitio-1,Conservada-01,1629,6285,501,7.67
8,Sitio-1,Conservada-01,1490,6037,105,10.32
9,Sitio-1,Conservada-01,1141,5604,203,12.47
10,Sitio-1,Conservada-01,1759,4090,599,9.26
11,Sitio-1,Perturbada-01,830,228,1217,4.50
12,Sitio-1,Perturbada-01,629,2151,697,0.00
13,Sitio-1,Perturbada-01,669,665,1397,0.00
14,Sitio-1,Perturbada-01,931,760,1906,2.41
15,Sitio-1,Perturbada-01,938,644,893,2.26
16,Sitio-1,Perturbada-01,222,742,1834,4.99
17,Sitio-1,Perturbada-01,111,632,223,3.75
18,Sitio-1,Perturbada-01,266,802,875,0.41
19,Sitio-1,Perturbada-01,534,2146,1421,2.75
20,Sitio-1,Perturbada-01,195,822,968,0.00
21,Sitio-2,Conservada-02,1298,3371,246,4.09
22,Sitio-2,Conservada-02,1281,2929,326,7.72
23,Sitio-2,Conservada-02,2316,3415,244,13.67
24,Sitio-2,Conservada-02,822,5629,78,6.96
25,Sitio-2,Conservada-02,1322,5833,613,3.37
26,Sitio-2,Conservada-02,727,4646,692,27.20
27,Sitio-2,Conservada-02,962,4907,41,0.00
28,Sitio-2,Conservada-02,774,1289,409,17.96
29,Sitio-2,Conservada-02,742,734,181,8.28
30,Sitio-2,Conservada-02,1145,718,851,16.07
31,Sitio-2,Perturbada-02,367,742,501,6.14
32,Sitio-2,Perturbada-02,146,632,105,14.22
33,Sitio-2,Perturbada-02,482,802,203,8.69
34,Sitio-2,Perturbada-02,281,2146,599,7.58
35,Sitio-2,Perturbada-02,526,822,246,2.41
36,Sitio-2,Perturbada-02,208,907,326,2.26
37,Sitio-2,Perturbada-02,203,892,244,4.99
38,Sitio-2,Perturbada-02,629,734,78,3.75
39,Sitio-2,Perturbada-02,149,718,613,0.00
40,Sitio-2,Perturbada-02,209,742,692,7.23
