Transecto,Densidad,Sitio,Tipo_vegetacion,Vegetation_types,Cluster,Arb_den,Arb_alt,Arb_ab,N0,H,N1,E1,S,cob_50,cob_100,Exp,Pend,Alt
1,4.9,Chiquero,Selva_mediana,TSF,C_1,40.1,3.2,60.8,6,1.6,5.1,0.9,6,100,100,104.3,9.8,131.9
2,5.7,Chiquero,Agricultura,Agr,C_1,32.5,3.6,80.2,15,2.6,13.3,0.9,20,74,66,271.7,4.7,107.6
3,4.4,Chiquero,Agricultura,Agr,C_1,12.7,3.6,178.3,14,2.5,12.7,0.9,16,100,99,167,7.9,125.2
4,5.3,Chiquero,Agricultura,Agr,C_1,15.9,3.9,136.8,12,2.4,10.9,0.9,15,100,87,220.2,8.6,117.9
5,2.2,Chiquero,Agricultura,Agr,C_1,39.7,3.1,78,10,2.2,9.4,0.9,19,100,76,95.4,8.5,103.3
6,2.6,Chiquero,Selva_mediana,TSF,C_1,18.6,4,259,17,2.7,15.2,0.9,25,100,78,173.8,6.3,99.1
7,4.4,Chiquero,Selva_mediana,TSF,C_2,16.6,4.8,399.7,18,2.8,16.2,0.9,25,100,89,310.1,10.3,180.5
8,8.8,Chiquero,Selva_mediana,TSF,C_1,23.1,3.8,216.9,19,2.8,17.1,0.9,28,100,90,174.8,10.6,192.4
9,0.4,Pensador,Agricultura,Agr,C_3,4.5,5.3,436.5,18,2.7,15.5,0.9,20,95,33,207.3,9.6,213
10,0,Pensador,Agricultura,Agr,C_3,7.2,4.5,414.3,16,2.6,13.9,0.9,19,100,71,72.4,12,180.6
11,1.3,Pensador,Agricultura,Agr,C_3,9.7,4.5,422.8,12,2.4,10.6,0.9,23,100,58,107.5,3.1,126.8
12,1.3,Pensador,Agricultura,Agr,C_3,11.4,4.9,587.9,14,2.5,12.3,0.9,25,98,76,153.2,0.7,109
13,1.3,Pensador,Agricultura,Agr,C_3,12.9,4.8,586.8,12,2.3,10.3,0.9,16,98,85,101.4,2.9,99.9
14,0.9,Pensador,Agricultura,Agr,C_3,8.5,4.6,590.2,13,2.4,11.2,0.9,17,97,80,78.9,2.2,109.6
15,1.7,Pensador,Agricultura,Agr,C_1,17.9,3.1,272,12,2.3,9.7,0.8,15,84,73,243.9,7.9,145.8
16,0.9,Pensador,Agricultura,Agr,C_2,23.9,2.9,279.5,20,2.9,17.9,0.9,26,100,85,107.7,15.7,176.7
17,3.7,Porvenir,Agricola_Pastizal,Agr-Pas,C_1,24.1,4,314.6,19,2.8,16.9,0.9,24,99,84,183.3,8.6,155.7
18,11,Porvenir,Agricola_Pastizal,Agr-Pas,C_1,3.4,3.2,243,12,2.3,10.2,0.9,16,100,85,282,8,151.1
19,4.4,Porvenir,Agricola_Pastizal,Agr-Pas,C_1,22.3,3.6,180.7,18,2.8,16.1,0.9,22,100,84,186.2,14.9,180.8
20,12.1,Porvenir,Agricola_Pastizal,Agr-Pas,C_1,22.2,2.9,185.6,12,2.3,10.5,0.9,14,100,80,180.7,6.2,121.4
21,4,Porvenir,Agricola_Pastizal,Agr-Pas,C_2,21.5,3.6,185.5,19,2.8,16.8,0.9,21,100,96,94,6.8,149.9
22,5.5,Porvenir,Agricola_Pastizal,Agr-Pas,C_2,34.2,3.1,139.8,22,3,19.5,0.9,25,100,98,281.3,3.4,130.1
