,x,y
1,574179,2358958
2,573267,2359016
3,573261,2359694
4,573950,2359412
5,573460,2358258
6,573925,2357993
7,574676,2358677
8,574408,2360052
9,591215,2353530
10,591586,2354100
11,591887,2354565
12,592413,2355198
13,593276,2355982
14,592587,2355982
15,591318,2352552
16,591385,2355228
17,584191,2363367
18,584734,2363641
19,583713,2363222
20,585113,2362813
21,585388,2363696
22,584565,2362479
23,584054,2362274
24,586380,2363505
25,570869,2373458
26,570532,2373919
27,570311,2374387
28,570012,2374797
29,571049,2374802
30,571579,2373860
31,572082,2373277
32,569635,2373989
33,580531,2349800
34,580891,2348958
35,581731,2349611
36,580740,2350272
37,580770,2351782
38,581550,2351618
39,581527,2352156
40,581758,2352704
