x,Ced_odo,Gua_ulm,Aca_ pen,Mal_arb,Ald_den,Cro_gla,Tab_ros,Aca_sp.,Parm_acu,Ery_ame,Opu_kar,Cae_vel,Cro_sp,Gli_sep,Ham_pat,Ann_glob,Sab_mex,Spo_mom,Bro_ali,Jus_spi,Aga_ang,Ehr_tin,Pru_ser,cit_sin,Pit_lan,Bah_div,Sp2,Mim_sp1.,Spo_pur,Bro_pin,Bur_sim,Pit_fle,Hae_bra,Bur_gra,Cra_tapi,Pit_dul,Sp3,Bra_moo,Mus_par,Bud_cor,Mac_tin,Aca_far,Mur_pan,Sim_gla
1,0,0,5,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0
2,3,0,3,2,2,3,0,0,1,0,2,0,0,0,0,0,1,0,1,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
3,3,1,2,3,2,0,0,0,0,2,2,0,0,0,0,0,1,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0,3,0,0
4,0,0,5,2,0,0,0,4,1,0,3,0,3,0,3,0,3,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0
5,1,0,2,3,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,0
6,1,0,0,1,1,0,1,3,3,1,2,0,3,1,0,0,2,2,0,0,1,0,1,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
7,2,3,3,1,1,3,3,0,0,0,1,0,2,1,0,0,3,0,0,1,1,0,0,2,0,2,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0
8,1,3,1,0,3,0,0,0,2,1,1,0,2,1,2,0,0,0,0,0,3,0,1,0,3,1,0,0,0,0,2,2,1,0,0,1,0,0,0,0,1,0,0,0
9,5,0,0,1,0,0,2,0,0,0,0,1,0,3,1,1,2,1,3,0,0,0,0,0,1,2,0,0,0,1,0,0,2,0,1,1,0,1,0,2,0,0,0,0
10,3,0,0,1,3,0,4,0,0,1,1,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,3,2,2,0,0,1,0,0,1,0
11,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,2,0
12,3,0,0,0,0,0,2,0,1,0,0,2,0,1,0,1,0,1,3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,3,0,3,1,0,0,0,0,0,0,0
13,3,0,0,0,0,0,1,5,0,0,0,3,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,2,0,3,0,0,0,1,0,2,0,1,0,0,0,0,0,0
