X	Y	
690882	2006073	
690786	2006045	
690789	2006045	
690505	2005955	
691120	2005506	
691081	2005502	
690934	2005497	
691452	2005235	
691413	2005197	
691383	2005157	
691202	2005052	
691801	2004976	
691766	2004932	
691745	2004892	
690057	2006532	
690018	2006514	
689973	2006495	
689822	2006385	
689746	2006327	
689459	2006780	
689595	2006922	
690476	2006996	
693172	2007201	
692651	2007200	
692653	2007252	
692665	2007437	
693130	2008572	
691181	2009544	
694699	2007508	
694916	2007332	
694987	2007257	
695178	2008070	
692146	2007709	
693656	2008548	
695848	2007312	
695862	2007224	
695837	2007128	
695821	2006899	
693483	2009885	
693486	2010133	
693494	2010232	
694082	2010257	
694616	2008371	
694653	2008325	
694665	2008226	
694886	2008136	
695387	2008379	
695443	2008467	
695629	2008815	
694877	2009313	
694970	2009308	
691017	2005519	
690974	2005514	
691145	2005025	
689942	2006472	
689869	2006414	
689787	2006357	
689428	2006736	
693181	2006984	
693091	2008564	
690421	2009070	
694666	2007538	
694730	2007464	
694960	2007287	
695234	2008168	
695864	2007265	
695856	2007079	
693478	2009987	
694061	2009993	
694702	2008183	
694833	2008131	
695467	2008510	
690836	2006052	
689520	2006846	
690506	2006960	
693171	2007054	
690386	2009416	
693476	2009934	
694079	2010119	
694783	2008149	
690636	2006762	
690423	2009128	
695311	2008305	
695809	2007163	
693478	2010280	
694761	2008158	
695302	2008906	
695245	2008904	
690549	2005977	
689909	2006446	
689861	2007631	
693165	2007142	
694793	2007394	
695007	2007263	
694061	2010036	
695428	2008425	
695184	2008906	
693172	2007094	
693196	2006955	
694757	2007424	
694794	2009344	
695143	2008913	
691486	2009527	
695331	2008912	
690426	2008981	
694838	2009336	
691017	2005519	
690974	2005514	
691145	2005025	
689942	2006472	
689869	2006414	
689787	2006357	
689428	2006736	
693181	2006984	
693091	2008564	
690421	2009070	
694666	2007538	
694730	2007464	
694960	2007287	
695234	2008168	
695864	2007265	
695856	2007079	
693478	2009987	
694061	2009993	
694702	2008183	
694833	2008131	
695467	2008510	
690836	2006052	
689520	2006846	
690506	2006960	
693171	2007054	
690386	2009416	
693476	2009934	
694079	2010119	
694783	2008149	
690836	2006052	
689520	2006846	
690506	2006960	
693171	2007054	
690386	2009416	
693476	2009934	
694079	2010119	
694783	2008149	
690636	2006762	
690423	2009128	
695311	2008305	
695809	2007163	
693478	2010280	
694761	2008158	
695302	2008906	
695245	2008904	
690636	2006762	
690423	2009128	
695311	2008305	
695809	2007163	
693478	2010280	
694761	2008158	
695302	2008906	
695245	2008904	
690636	2006762	
690423	2009128	
695311	2008305	
695809	2007163	
693478	2010280	
694761	2008158	
695302	2008906	
695245	2008904	
690549	2005977	
689909	2006446	
689861	2007631	
693165	2007142	
694793	2007394	
690549	2005977	
689909	2006446	
689861	2007631	
693165	2007142	
694793	2007394	
690549	2005977	
689909	2006446	
689861	2007631	
693165	2007142	
694793	2007394	
690549	2005977	
689909	2006446	
689861	2007631	
693165	2007142	
694793	2007394	
695007	2007263	
694061	2010036	
695428	2008425	
695184	2008906	
695007	2007263	
694061	2010036	
695428	2008425	
695184	2008906	
695007	2007263	
694061	2010036	
695428	2008425	
695184	2008906	
695007	2007263	
694061	2010036	
695428	2008425	
695184	2008906	
695007	2007263	
694061	2010036	
695428	2008425	
695184	2008906	
695007	2007263	
694061	2010036	
695428	2008425	
695184	2008906	
693172	2007094	
693196	2006955	
694757	2007424	
694794	2009344	
695143	2008913	
693172	2007094	
693196	2006955	
694757	2007424	
694794	2009344	
695143	2008913	
693172	2007094	
693196	2006955	
694757	2007424	
694794	2009344	
695143	2008913	
693172	2007094	
693196	2006955	
694757	2007424	
694794	2009344	
695143	2008913	
693172	2007094	
693196	2006955	
694757	2007424	
694794	2009344	
695143	2008913	
693172	2007094	
693196	2006955	
694757	2007424	
694794	2009344	
695143	2008913	
693172	2007094	
693196	2006955	
694757	2007424	
694794	2009344	
695143	2008913	
691486	2009527	
695331	2008912	
690426	2008981	
691486	2009527	
695331	2008912	
690426	2008981	
691486	2009527	
695331	2008912	
690426	2008981	
691486	2009527	
695331	2008912	
690426	2008981	
691486	2009527	
695331	2008912	
690426	2008981	
691486	2009527	
695331	2008912	
690426	2008981	
691486	2009527	
695331	2008912	
690426	2008981	
691486	2009527	
695331	2008912	
690426	2008981	
695331	2008912	
690426	2008981	
690426	2008981	
694838	2009336	
694838	2009336	
694838	2009336	
694838	2009336	
694838	2009336	
694838	2009336	
694838	2009336	
694838	2009336	
694838	2009336	
694838	2009336	
694838	2009336	
694838	2009336	
694838	2009336	
694838	2009336	
688885	2009211	
689077	2002701	
692343	2005378	
694270	2006096	
689841	2010087	
691742	2010514	
696028	2007900	
695285	2006754	
695174	2010161	
695174	2010161	
695174	2010161	
695174	2010161	
695174	2010161	
695174	2010161	
695174	2010161	
695167	2010113	
695167	2010113	
695167	2010113	
695167	2010113	
695167	2010113	
695167	2010113	
695160	2010209	
695160	2010209	
695160	2010209	
695160	2010209	
695160	2010209	
695160	2010209	
695133	2006752	
695133	2006752	
695133	2006752	
695130	2010249	
695130	2010249	
695130	2010249	
695130	2010249	
695130	2010249	
695130	2010249	
695130	2010249	
695130	2010249	
695130	2010249	
695130	2010249	
695089	2010277	
695089	2010277	
695076	2010327	
695076	2010327	
695076	2010327	
695076	2010327	
695076	2010327	
695076	2010327	
695062	2010373	
695062	2010373	
695062	2010373	
695062	2010373	
695062	2010373	
695062	2010373	
695062	2010373	
695062	2010373	
695062	2010373	
695062	2010373	
695062	2010373	
695062	2010373	
695043	2010419	
695043	2010419	
695043	2010419	
695043	2010419	
695043	2010419	
695043	2010419	
695043	2010419	
695043	2010419	
695043	2010419	
695043	2010419	
695043	2010419	
695043	2010419	
695043	2010419	
695043	2010419	
695043	2010419	
695043	2010419	
695043	2010419	
695043	2010419	
695043	2010419	
695043	2010419	
695030	2010467	
695030	2010467	
695030	2010467	
695030	2010467	
695013	2010514	
694936	2006802	
694936	2006802	
694936	2006802	
694936	2006802	
694936	2006802	
694936	2006802	
694936	2006802	
694936	2006802	
694936	2006802	
694936	2006802	
694936	2006802	
694075	2008825	
694075	2008825	
694075	2008825	
694060	2008920	
694060	2008920	
694060	2008920	
694060	2008920	
694059	2008871	
694059	2008871	
694059	2008871	
694059	2008871	
694059	2008871	
694059	2008871	
694059	2008871	
694055	2008622	
694055	2008622	
694055	2008622	
694055	2008622	
694055	2008622	
694055	2008622	
694055	2008622	
694050	2008970	
694050	2008970	
694050	2008970	
694050	2008970	
694014	2008738	
693231	2006209	
693231	2006209	
693177	2010099	
693177	2010099	
693159	2010146	
693159	2010146	
693159	2010146	
693159	2010146	
693159	2010146	
693159	2010146	
693159	2010146	
693159	2010146	
693159	2010146	
693140	2011636	
693140	2011636	
693140	2011636	
693140	2011636	
693140	2011636	
693140	2011636	
693140	2011636	
693140	2011636	
693140	2011636	
693140	2011636	
693140	2011636	
693139	2011583	
693136	2011688	
693126	2011741	
693126	2006216	
693126	2006216	
693126	2006216	
693108	2010232	
693087	2011777	
692989	2011891	
692867	2006192	
692087	2012777	
692033	2012542	
692033	2012542	
691935	2012848	
691935	2012848	
691935	2012848	
691935	2012848	
691935	2012848	
691935	2012848	
691935	2012848	
691935	2012848	
691911	2012888	
691911	2012888	
691818	2005193	
691818	2005193	
691818	2005193	
691818	2005193	
691818	2005193	
691818	2005193	
691818	2005193	
691818	2005193	
691780	2007802	
691687	2011700	
691687	2011700	
691687	2011700	
691687	2011700	
691687	2011700	
691687	2011700	
691687	2011700	
691682	2005254	
691634	2005263	
691615	2011775	
691488	2007754	
691400	2007704	
691360	2007672	
691038	2006293	
691036	2009192	
691036	2009192	
691036	2009192	
691036	2009192	
691036	2009192	
690992	2009169	
690992	2009169	
690940	2009143	
690940	2009143	
690940	2009143	
690940	2009143	
690940	2009143	
690940	2009143	
690288	2004820	
690137	2004782	
690087	2004777	
690087	2004777	
690087	2004777	
690087	2004777	
690087	2004777	
690087	2004777	
690036	2004782	
689982	2004803	
689675	2007643	
689675	2007643	
689675	2007643	
689675	2007643	
689675	2007643	
689675	2007643	
689675	2007643	
689675	2007643	
689442	2007751	
689442	2007751	
689442	2007751	
689383	2007714	
689383	2007714	
689383	2007714	
689383	2007714	
689383	2007714	
689383	2007714	
689383	2007714	
689383	2007714	
689383	2007714	
689383	2007714	
