Station;Events;X;Y;Year;Season
C1T2P1;0;693140;2009350;2018;Dry season
C1T2P21;4;693961;2009940;2018;Dry season
C1T6P1;0;692485;2010167;2018;Dry season
C1T6P21;0;693384;2010748;2018;Dry season
C2T1P1;0;691248;2010115;2018;Dry season
C2T1P21;0;691849;2009315;2018;Dry season
C2T3P1;1;690311;2009723;2018;Dry season
C2T3P21;2;690912;2008923;2018;Dry season
C3T0P1;0;691396;2007831;2018;Dry season
C3T3P21;1;692934;2007423;2018;Dry season
C4T2P1;0;695414;2009568;2018;Dry season
C4T2P21;3;694597;2008991;2018;Dry season
C5T1P1;0;690826;2005375;2018;Dry season
C5T1P21;1;689829;2005339;2018;Dry season
C5T3P1;1;690737;2006371;2018;Dry season
C5T3P21;1;689737;2006329;2018;Dry season
C6T2P11;0;695603;2007026;2018;Dry season
CB18P10;4;690208;2007495;2018;Dry season
CB18P11;6;694249;2010999;2018;Dry season
CB18P12;3;689557;2004377;2018;Dry season
CB18P13;9;693677;2008438;2018;Dry season
CB18P14;3;694097;2007477;2018;Dry season
CB18P15;1;693883;2006474;2018;Dry season
CB18P26;0;691499;2006677;2018;Dry season
CB18P27;3;691591;2005687;2018;Dry season
CB18P28;3;692499;2006719;2018;Dry season
CB18P29;0;692588;2005723;2018;Dry season
CB18P30;1;695790;2008315;2018;Dry season
CB18P32;5;696367;2007499;2018;Dry season
CB18P9;4;689821;2008533;2018;Dry season
CB01;2;694251;2010995;2019;Dry season
CB02;1;695419;2009578;2019;Dry season
CB03;5;695790;2008315;2019;Dry season
CB04;0;696367;2007499;2019;Dry season
CB05;1;693961;2009940;2019;Dry season
CB06;0;694603;2008988;2019;Dry season
CB07;2;695110;2007581;2019;Dry season
CB08;2;692479;2010184;2019;Dry season
CB09;0;693084;2009327;2019;Dry season
CB10;4;693424;2008439;2019;Dry season
CB11;2;694112;2007652;2019;Dry season
CB12;7;693883;2006474;2019;Dry season
CB13;5;692447;2007998;2019;Dry season
CB14;3;691806;2008761;2019;Dry season
CB15;7;691252;2009608;2019;Dry season
CB16;1;692534;2006654;2019;Dry season
CB17;6;690914;2008926;2019;Dry season
CB18;0;691396;2007831;2019;Dry season
CB19;0;691546;2006699;2019;Dry season
CB20;6;692591;2005695;2019;Dry season
CB21;0;695027;2010516;2019;Dry season
CBG01;0;696396;2007508;2020;Dry season
CBG02;1;695788;2008327;2020;Dry season
CBG03;0;695414;2009568;2020;Dry season
CBG04;4;695052;2010475;2020;Dry season
CBG05;0;694286;2011016;2020;Dry season
CBG06;1;695603;2007026;2020;Dry season
CBG07;4;695149;2007646;2020;Dry season
CBG08;1;694597;2008991;2020;Dry season
CBG09;2;693959;2009925;2020;Dry season
CBG10;0;693382;2010673;2020;Dry season
CBG11;1;694097;2007476;2020;Dry season
CBG12;1;693681;2008417;2020;Dry season
CBG13;1;693084;2009323;2020;Dry season
CBG14;0;692484;2010185;2020;Dry season
CBG15;2;693883;2006474;2020;Dry season
CBG16;0;692926;2007417;2020;Dry season
CBG17;1;692397;2008196;2020;Dry season
CBG18;0;691699;2009230;2020;Dry season
CBG19;2;691306;2009924;2020;Dry season
CBG20;3;692534;2006654;2020;Dry season
CBG21;4;691450;2007894;2020;Dry season
CBG22;4;690912;2008923;2020;Dry season
CBG24;1;692532;2005728;2020;Dry season
CBG25;9;691581;2006748;2020;Dry season
CBG26;0;690208;2007495;2020;Dry season
CBG27;0;689821;2008533;2020;Dry season
CBG28;6;691553;2005736;2020;Dry season
CBG29;2;690737;2006371;2020;Dry season
CBG30;3;690826;2005375;2020;Dry season
CBG31;1;689737;2006329;2020;Dry season
CBG32;0;689866;2005348;2020;Dry season
C1T2P1;0;693140;2009350;2018;Rain season
C1T2P21;4;693961;2009940;2018;Rain season
C1T6P1;1;692485;2010167;2018;Rain season
C1T6P21;1;693384;2010748;2018;Rain season
C2T1P1;1;691248;2010115;2018;Rain season
C2T1P21;0;691849;2009315;2018;Rain season
C2T3P1;0;690311;2009723;2018;Rain season
C2T3P21;0;690912;2008923;2018;Rain season
C3T0P1;1;691396;2007831;2018;Rain season
C3T3P21;2;692934;2007423;2018;Rain season
C4T2P1;2;695414;2009568;2018;Rain season
C4T2P21;9;694597;2008991;2018;Rain season
C5T1P1;4;690826;2005375;2018;Rain season
C5T1P21;3;689829;2005339;2018;Rain season
C5T3P1;4;690737;2006371;2018;Rain season
C5T3P21;2;689737;2006329;2018;Rain season
C6T2P11;0;695603;2007026;2018;Rain season
CB18P10;1;690208;2007495;2018;Rain season
CB18P11;6;694249;2010999;2018;Rain season
CB18P12;2;689557;2004377;2018;Rain season
CB18P13;6;693677;2008438;2018;Rain season
CB18P14;0;694097;2007477;2018;Rain season
CB18P15;3;693883;2006474;2018;Rain season
CB18P26;1;691499;2006677;2018;Rain season
CB18P27;1;691591;2005687;2018;Rain season
CB18P28;3;692499;2006719;2018;Rain season
CB18P29;0;692588;2005723;2018;Rain season
CB18P30;0;695790;2008315;2018;Rain season
CB18P32;2;696367;2007499;2018;Rain season
CB18P9;1;689821;2008533;2018;Rain season
CB01;3;694251;2010995;2019;Rain season
CB02;0;695419;2009578;2019;Rain season
CB03;1;695790;2008315;2019;Rain season
CB04;3;696367;2007499;2019;Rain season
CB05;6;693961;2009940;2019;Rain season
CB06;0;694603;2008988;2019;Rain season
CB07;7;695110;2007581;2019;Rain season
CB08;3;692479;2010184;2019;Rain season
CB09;4;693084;2009327;2019;Rain season
CB10;0;693424;2008439;2019;Rain season
CB11;1;694112;2007652;2019;Rain season
CB12;4;693883;2006474;2019;Rain season
CB14;7;691806;2008761;2019;Rain season
CB15;2;691252;2009608;2019;Rain season
CB16;2;692534;2006654;2019;Rain season
CB17;5;690914;2008926;2019;Rain season
CB18;5;691396;2007831;2019;Rain season
