Longitud	Latitud
-100.211085	17.400026
-98.87775	16.858359
-101.044419	17.316692
-100.127751	17.441692
-100.169418	17.483359
-95.252748	16.316691
-95.252748	16.191691
-95.169414	16.191691
-95.794415	16.608358
-95.169414	16.233358
-95.752748	16.608358
-94.919414	16.525025
-100.627752	17.233359
-101.544419	17.650026
-102.29442	18.025026
-102.41942	18.10836
-102.461087	18.275026
-102.502753	18.191693
-97.086082	16.150025
-97.87775	16.066691
-98.419417	16.650025
-100.711085	17.275026
-102.79442	18.10836
-100.586085	17.400026
-103.961088	18.941694
-103.586088	18.941694
-94.794414	16.358358
-94.71108	16.358358
-94.752747	16.358358
-94.794414	16.275025
-102.377753	27.025033
-102.877754	29.316702
-102.54442	28.983368
-102.79442	25.983366
-103.669421	28.608368
-103.419421	28.608368
-103.002754	27.025033
-101.836086	28.775035
-102.002753	29.025035
-102.252753	28.400034
-101.711086	28.691701
-101.752753	28.691701
-101.794419	28.691701
-101.836086	28.691701
-101.877753	28.775035
-102.54442	28.650035
-102.54442	29.066702
-102.086086	26.983367
-102.377753	27.3167
-102.04442	26.775033
-102.04442	26.8167
-102.086086	26.858367
-102.54442	26.400033
-101.377752	26.066699
-102.91942	28.233368
-102.41942	27.3167
-103.04442	28.316701
-108.586092	33.400038
-108.627758	33.400038
-109.169425	33.858372
-110.961093	33.983372
-111.336094	34.233372
-111.419427	34.358373
-111.461094	34.108372
-111.586094	31.775037
-111.794427	34.233372
-112.044428	34.066706
-105.377756	23.775031
-106.33609	25.066698
-108.336091	29.983369
-107.544424	25.441699
-108.627758	26.400033
-108.752758	26.066699
-108.919425	26.108366
-109.252759	26.775033
-109.252759	26.8167
-107.502757	25.525032
-107.586091	25.691699
-110.961093	34.233372
-111.211094	34.400039
-111.37776	34.441706
-112.127761	36.066707
-104.627755	21.691696
-104.711088	21.858363
-105.294422	22.816697
-106.752757	24.816698
-104.794422	22.108363
-105.086089	22.066696
-107.002757	24.900032
-105.252756	22.65003
-108.794425	31.566704
-109.211092	31.900037
-109.211092	31.941704
-109.252759	31.858371
-109.294425	31.775037
-109.294425	31.900037
-109.294425	31.941704
-109.294425	31.983371
-109.336092	31.941704
-109.377759	31.941704
-109.794426	32.691705
-110.086093	31.73337
-110.127759	32.233371
-110.294426	31.441704
-110.336093	31.48337
-110.37776	31.441704
-110.37776	31.525037
-110.37776	31.566704
-110.419426	31.48337
-110.419426	31.525037
-110.711093	32.233371
-110.75276	31.775037
-110.794427	31.691704
-110.87776	31.73337
-110.919427	32.233371
-108.794425	31.60837
-109.002759	31.35837
-103.586088	25.650032
-103.086087	21.941696
-103.586088	22.77503
-103.877754	23.066697
-104.002755	23.733364
